Sr. No.,College Name,University Name,District,Taluka,Exclusively in Womens Colleges,"College Types","(Report no 5)
Whether Minority Institution (Yes/No)","Linguistic/
Religious_Type",JD Region,Correspondence Address,Email,Contact Phone 1,Contact Phone 2,Mobile,Principal Name,College Type
3123,POORNA B.ED. COLLEGE HALBITOLA,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,GONDIA,Gondia,Co-Education,Rural,No,Select,Nagpur,AT- HALBITOLA (KHAMARI) GONDIA (M.S.)AT- HALBITOLA (KHAMARI) GONDIA (M.S.)441601,lilhare2014@gmail.com,07182- 202048,-9325330166,9921852520,Dr. T. M. Dhekwar (OFFI.),Non-Aided
3124,Anjuman-I-Islam's Institute of Hospitality Management,Mumbai University Mumbai,Mumbai City,Mumbai City,Co-Education,Urban,Yes,Religious,Mumbai,92 Dr. DN Road Near CST Station,rukshana.principal@anjumanihmct.org,022-22652272,022-22652272,989211222789,DR. RUKSHANA P. BILLIMORIA,Non-Aided
3125,S.CHAUHAN MAHILA MAHAVIDYALAYA AMGAON.,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,GONDIA,Amgaon,Girls,Tribal,No,Select,Nagpur,Shree Rajesh Goyal AT. Amgaon Ta. Amgaon Distt. Gondia 441902,s.chaohancollege@gmail.com,07189-225299,07189-225299,9823599699,Vivek Bahekar,Non-Aided
3126,Savitribai Fule Mahila Mahavidyalaya Tiroda Dist Gondia,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,GONDIA,Tirora,Girls,Urban,No,Select,Nagpur,SUBHASH WARDKHAMTALAV ROAD,kamblediksha370@gmail.com,9765199572,-9405987120,7745804071,Prof. Anita D.Meshram,Non-Aided
3127,A.R. Burla Mahila Varishtha MahavidyalayaSolapur,Punyashlok Ahilyadevi Holkar Solapur University Solapur,Solapur,North Solapur,Girls,Urban,Yes,Linguistic,Solapur,213 Sakhar Peth (Ashikal Maidan) Solapur413005(P.O.Box No. 510),arburla@gmail.com,2172743908,-9922051244,9922051244,Dr. Rajendra N. Shendage,Aided
3128,Adarsh Mahavidayalay Jamkhed Tal- Ambad Dist-Jalna,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Jalna,Ambad,Co-Education,Rural,No,Select,Aurangabad,At post jamkhed tq ambad dist jalna,pandharerushi0502@gmail.com,-9423459814,-9423459814,9423459814,Rameshwar Vaidya,Non-Aided
3129,Vidarbha Mahavidyalaya Buldana (Art's & Commerce),Sant Gadge Baba Amravati University Amravati,Buldhana,Buldhana,Co-Education,Urban,No,Select,Amravati,Dhande lay out Dhad naka Ajintha Road Buldana,vidarbham@rediffmail.com,07262-245028,07262-245028,9763099711,Proff M T Jamaiwar,Aided
3130,Vidya Pratishthan's Commerce & Science CollegeIndapur,Savitribai Phule Pune University Pune,Pune,Indapur,Co-Education,Rural,No,Select,Pune,Vidyanagari IndapurAkluj link roadDist Pune 413106,principal@vpcscindapur.org,02111-225602,02111-225601,9823864464,Nilesh Shriram Kaldate,Non-Aided
3131,DR. SHWETA SMRUTI MAHILA MAHAVIDYALAYA,Gondwana University Gadchiroli,Gadchiroli,Dhanora,Girls,Tribal,No,Select,Nagpur,At-Post-Tah- Dhanora At-Post-Tah- Dhanora,drswetacollegedhanora123@gmail.com,7020449569,-9422566659,7021038294,Shri. S. S. Ramteke,Non-Aided
3132,Vinayak Vidnyan Mahavidyalaya Nandgaon Kh.,Sant Gadge Baba Amravati University Amravati,Amravati,Nandgaon Khandeshwar,Co-Education,Urban,No,Select,Amravati,Nandgaon Khandeshwar Dist. AmravatiNandgaon Khandeshwar Dist. Amravati,bhisealka@gmail.com,07221-222245,07221-222245,9823526341,Dr. ALKA ANANT BHISE,Aided
3133,Kala Mahavidyalaya Malakapur,Sant Gadge Baba Amravati University Amravati,Akola,Akola,Co-Education,Rural,No,Select,Amravati,MALKAPUR MIDC 2 VHB COLONY TQ DIST AKOLAMALKAPUR MIDC 2 VHB COLONY TQ DIST AKOLA,waghmare.rw@gmail.com,0724-2259435,0724-2801548,9923636564,Dr. Gitali. S. Pande,Aided
3134,Gulamnabi Azad Education College Pusad,Sant Gadge Baba Amravati University Amravati,Yavatmal,Pusad,Co-Education,Urban,Yes,Religious,Amravati,Vasant Nagar PusadVasant Nagar Pusad,gacoed426@sgbau.ac.in,07233-247004,07233-247004,8149872803,Dr. Avinash M. Kohale,Non-Aided
3135,Yashawantrao Chavan Mahavidyalaya Karmala Dist. Solapur,Punyashlok Ahilyadevi Holkar Solapur University Solapur,Solapur,Karmala,Co-Education,Urban,No,Select,Solapur,Karmala Tal. Karmala Dist. SolapurKarmala Tal. Karmala Dist. Solapur,ycmkarmala@gmail.com,02182-220552,02182-220552,9403322990,Dr. Laxman Babasaheb Patil,Aided
3136,Mahatma Gandhi Kala Mahavidyalaya,Gondwana University Gadchiroli,Chandrapur,Mul,Co-Education,Rural,No,Select,Nagpur,At/Post Rajoli Ta. Mul Dist. Chandrapur 441212,kailastitarmare@gmail.com,07174-263400,07174-263400,9370544993,Pankaj P. Tijare (Secretary),Non-Aided
3137,Karnala Sports Academy’s KSA’s Barns College of Arts Science & Commerce At Plot No. 7 Sector 16,Mumbai University Mumbai,Raigad,Panvel,Co-Education,Urban,No,Select,Panvel,Plot no.7sect.-16behind HOC colony,ksabarnscollege@rediffmail.com,022-27464432,022-27464432,9819515011,I/C Mr. Bhoir K.K.,Non-Aided
3138,Dr. Milind Yerne College Of Law Paoni,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Bhandara,Pauni,Co-Education,Rural,No,Select,Nagpur,at post kondha kosara tah:pauni distrt:bhandara at post kondha kosara tah:pauni distrt:bhandara 4419,principallawcollegepauni@gmail.com,7185253501,"-94,205,672,859,405,200,000",9405249027,Incharege Dr.M.Pudake,Non-Aided
3139,Shri Keshorao Shende Mahavidyalay Pathri road Gadmoushi Sindewahi,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Chandrapur,Sindewahi,Co-Education,Rural,No,Select,Nagpur,Pathari Rd GadmoushiSindewahi tah sindewahi distt. Chandrapur,keshaoraojishende@gmail.com,-9421955715,-9421955715,8208811823,Dr. Chandu D Gandate,Non-Aided
3140,Rambhau Lingade College of Education Buldana,Sant Gadge Baba Amravati University Amravati,Buldhana,Buldhana,Co-Education,Rural,No,Select,Amravati,Lingade knowledge park chikhali Road Buldana  AtPo. Yelgaon Tq.Dist-Buldana-443001,rlingade.bed@rediffmail.com,07262-242189,07262-242189,9763084087,Prakash Murlidhar Sonune,Non-Aided
3141,Smt. Rajmati Nemgonda Patil Kanya Mahavidyalya Neminathnagar Sangli,Shivaji University Kolhapur,Sangli,Miraj,Girls,Urban,Yes,Religious,Kolhapur,Ganeshmandir Road Neminathnagar Vishrambag Sangli 416416 Tal Miraj Dist. Sangli (Maharashtra),smtrnpkmsangli@gmail.com,0233-2304330,0233-2304330,9423030506,Dr. Mansi Abhijeet Ganu,Non-Aided
3142,Lokmanya Mahavidyalaya Sonkhed,Swami Ramanand Teerth Marathwada University Nanded,Nanded,Loha,Co-Education,Rural,No,Select,Nanded,Lokmanya MahavidyalayaSonkhed.Tq. Loha Dist. Nanded,lokmanyasonkhed@gmail.com,02466-245234,02466-2452349970933067,9970222262,Dr. Aglave Hanmant Raghunathrao,Aided
3143,Dipak Aba Salunkhe Patil Mahaviddyalaya Kole Solapur,Punyashlok Ahilyadevi Holkar Solapur University Solapur,Solapur,Sangola,Co-Education,Rural,No,Select,Solapur,At Post. Kole Tal.Sangola Dist.Solapur-413314,gkmenglishschoolkole@gmail.com,,-8600462991,8600462991,DR. SANTOSH BANDGER,Non-Aided
3144,PDEA'S Annasaheb Waghire College  Otur,Savitribai Phule Pune University Pune,Pune,Junnar,Co-Education,Rural,No,Select,Pune,AT POST OTUR TAL JUNNAR DIST PUNE,awc_otur@pdeapune.org,02132-264138,02132-264138,9370333535,Dr. Khandagle A J,Aided
3145,Dr. Ambedkar College Nagpur,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Nagpur Urban,Co-Education,Urban,No,Select,Nagpur,Dr. Ambedkar CollegeDeekhshabhoomi Nagpur.,dacn_ngp@rediffmail.com,0712-3298042 2022457,0712-3298042 2022457,9822573242,Dr. Mrs. B. A. Mehere,Aided
3146,Anand Sagar Pratisthan Gurukul Residential College of Civil Service Aurangabad,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Aurangabad,Aurangabad,Co-Education,Rural,No,Select,Aurangabad,Karmad Tq And Dist AurangabadKarmad Tq And Dist Aurangabad,gurukulcollege.ias@gmail.com,0240-2623310,0240-2623310,7083783793,Anant Keshav Rathod,Non-Aided
3147,Solapur Social Association College of Edu. Solapur.,Punyashlok Ahilyadevi Holkar Solapur University Solapur,Solapur,North Solapur,Co-Education,Urban,Yes,Religious,Solapur,C.S.T.No.10659 Siddheshwar Peth SolapurC.S.T.No.10650 Siddheshwar Peth Solapur,ssabedcollege@gmail.com,0217-2723120,0217-2723120,9422645084,Dr.Mrs.Wadwan M.M.,Non-Aided
3148,Vidrabha Modern Degree College Akola,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Akola,Akola,Co-Education,Urban,Yes,Religious,Amravati,rahbar campus near tape hanuman mandir Mohta mil road firdous colony Akola,vmdcakl@gmail.com,-9860271952,-9860271952,9860271952,Arvind Tryambakrao Jodh,Non-Aided
3149,Vivekanand Arts Sardar Dalipsing Commerce & Science College Aurangabad,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Aurangabad,Aurangabad,Co-Education,Urban,No,Select,Aurangabad,Samarth Nagar Aurangabad. PIN.431 001,principal@vivekanandcollege.edu.in,0240-2365900,0240-2365900,9423148553,Prof. RAMDAS SITARAM WANARE,Aided
3150,J.D.M.V.P.Co.OP. SAMAJS Arts Commercse and Science College Yawal,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon,Jalgaon,Yawal,Co-Education,Urban,No,Select,Jalgaon,Faizpur Roadyawal,acscyawal@ymail.com,02585-261418,02585-261418,9130123977,Prof. Dr. S.M. Sonawane,Aided
3151,Arts Commerce & Science College A/P. Alkuti,Savitribai Phule Pune University Pune,Ahmednagar,Parner,Co-Education,Rural,No,Select,Pune,A/P-AlkutiTal-ParnerDist-ahmednagar,prinacsalkuti04@gmail.com,02488-250457,02488-250457,9822262394,Dr. Sharad Shankar Parkhe,Non-Aided
3152,Kratisinh Nana Patil Mahavidyalaya WALAWE-416 313 Tal- Walwa Dist-Sangli,Shivaji University Kolhapur,Sangli,Walwa Islampur,Co-Education,Rural,No,Select,Kolhapur,A/p Walwa(Islampur RoadMalbhag)Tal.Walwa Dist.Sangli.Maharashtra.416 313,knpcwalwa@ymail.com,02342-267048,02342-267048,9890928818,Dr. Sushma Arun Nayakawadi,Aided
3153,Dr. Rafiq Zakaria College for Women,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Aurangabad,Aurangabad,Girls,Urban,Yes,Religious,Aurangabad,Navkhanda Jubilee Park,principal.dr.rzcw@gmail.com,0240-2402462,0240-2402462,9890995522,Dr. Maqdoom Farooqui,Aided
3154,Shri Anandrao Abitkar Arts Commerce and Science College Kadgaon Tal. Bhudargad Dist. Kolhapur,Shivaji University Kolhapur,Kolhapur,Bhudargad,Co-Education,Rural,No,Select,Kolhapur,AT POST KADGAON TAL BHUDARGAD,kadgaon673.cl@unishivaji.ac.in,-9823137784,-9823137784,9421265650,JITENDRAKUMAR BALVANT HANDE,Non-Aided
3155,Sonekar College Of Educaton Kamptee,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Kamptee,Co-Education,Urban,No,Select,Nagpur,Devi Road Mahadula KoradiTah. Kamptee Dist. Nagpur,tarkeshthawale@gmail.com,91-9422827880,91-9422827880,9823243010,Dr. Mukul K. Chauhan,Non-Aided
3156,Arts Commerce & Science CollegeAmravati,Sant Gadge Baba Amravati University Amravati,Amravati,Amravati,Co-Education,Urban,No,Select,Amravati,Narsamma Campus Kiran Nagar Amravati 444606,acsm162@sgbau.ac.in,0721-2540793,0721-2540793,9730753928,Dr. Rajesh Shamrao Chandanpat,Aided
3157,Ashwamedh Night College Saved Ahmednagar,Savitribai Phule Pune University Pune,Ahmednagar,Ahmednagar,Co-Education,Urban,Yes,Religious,Pune,Savedi Ahmednagar,ashwamedh0241@gmail.com,9552295295,-9552295295,7447407488,Dr.Pakhale Kishor Devidas,Non-Aided
3158,Samajonnati Shikshan Sansthas Commerce College Borivali(w),Mumbai University Mumbai,Mumbai Suburban,Borivali,Co-Education,Urban,No,Select,Mumbai,Lokmanya Tilak RoadNear Gokhale College Gorai Borivali(W) Mumbai-400091,admin@samajonnaticollege.com,-91522000134,-91522000134,7977835813,1,Non-Aided
3159,RAMANAND ARYA D.A.V. COLLEGE,Mumbai University Mumbai,Mumbai Suburban,Kurla,Co-Education,Urban,Yes,Linguistic,Mumbai,Station Road Datar Colony Bhandup (E) Mumbai - 400042,info@radav.org,022-25662921,022-25662921,9833552608,DR.AJAY MURLIDHAR BHAMARE,Aided
3160,Arts Commerce & Science College Puntamba,Savitribai Phule Pune University Pune,Ahmednagar,Rahata,Co-Education,Rural,No,Select,Pune,A/p:-Puntamba Ta:-Rahata Dist:- Ahmednagar Pin:- 413707 Phone:-(02423)274159,acscollegepuntamba@gmail.com,02423-274159,02423-274159,9970716639,Dr.Sayyad Amin Sayyadbhai,Non-Aided
3161,Jeevanvikas College ThugaondevDist.Nagpur,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Narkhed,Co-Education,Rural,No,Select,Nagpur,AT POST Devgram (THUGAONDEO) TAH. NARKHED DIST. NAGPUR - 441301 (MS),devendra.bhongade@gmail.com,9823421427,-9823421427,9823421427,Dr. Devendra S. Bhongade,Aided
3162,Swa. Savitabai Laxman Ghade Mahavidyalaya Allipur,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Wardha,HINGANGHAT,Co-Education,Rural,No,Select,Nagpur,C/o Santaji Sabhagruh Near Reliance Petrol PumpAllipur Ta. Hinganghat Dist Wardha,sslgcollege@gmail.com,7083631654,-9890181420,8830646346,KISHOR B. KADWE,Non-Aided
3163,DSR College of Education (B.Ed. & M.Ed.),Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Aurangabad,Aurangabad,Co-Education,Urban,Yes,Religious,Aurangabad,Gut No. 17 Wanjarwadi Road Near Sharnapur Railway Crossing Aurangabad.,dsrcollege1@gmail.com,0240-2382767,0240-2382767,7774831666,Dr. Syed Azaz Ali Amjad Ali,Non-Aided
3164,Shri Balaji Society Balaji College Of Arts Commerce & Science,Savitribai Phule Pune University Pune,Pune,Mulshi,Co-Education,Urban,No,Select,Pune,S.NO 3/1+4 AUNDH RAVET ROAD TATHWADEPUNE-411033,principal@bcacspune.edu.in,020-67084050,020-30593050,9422821515,Dr. O.M. Ashtankar,Non-Aided
3165,Shree Param Sadguru College Nipani,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Aurangabad,Aurangabad,Co-Education,Rural,No,Select,Aurangabad,Gate No-144240 NipaniTal. Dist: Aurangabad-431007,spsadguru.college@gmail.com,-9021080808,-9021080808,9021080808,T V WANI,Non-Aided
3166,KISANRAO KHOBRAGADE ADHYAPAK COLLEGE,Gondwana University Gadchiroli,Gadchiroli,Armori,Co-Education,Urban,No,Select,Nagpur,AT. PO. ARMORI TAH ARMORI,skkbedarmori@gmail.com,7137266302,-9422138870,9422138870,DR. D. R. BHAGAT,Non-Aided
3167,Shetkari Shikshan Sanstha’s College of BMS Thane Belapur Road Ghansoli Navi Mumbai – 400 701.,Mumbai University Mumbai,Thane,Thane,Co-Education,Urban,No,Select,Panvel,At & post Ghansoli GaonThane Belapur RoadNavi Mumbai-400701. same as above,ssscollege07@gmail.com,9152143350,022-27640543,9892578554,Mr. Hiren Jayantilal Dand,Non-Aided
3168,Laxmibai Rajgadkar Smruti Kala Mahavidyalaya,Sant Gadge Baba Amravati University Amravati,Yavatmal,Wani,Co-Education,Rural,No,Select,Amravati,S.L.R.College shirpur Ta.wani Dist.Yavatmal (m.s.)Laxmibai Rajgadkar smruti Arts college shirpur ta.,sanketrajgadkar@gmil.com,9960747929,-9881572206,9765366472,Incharge Principal,Non-Aided
3169,Vishvabharti Mahavidyalaya CIDCO Nanded,Swami Ramanand Teerth Marathwada University Nanded,Nanded,Nanded,Co-Education,Urban,No,Select,Nanded,cidco new nandedcidco new nanded,vmcnanded@gmail.com,,-9890009908,-9890009908,Rahegaonkar S. P.,Non-Aided
3170,Rashtriya Charitable Trust Sanchlit Arts Commerce & Science College NagadTal-Kannad,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Aurangabad,KANNAD,Co-Education,Rural,No,Select,Aurangabad,AT/POST - NAGAD TAL - KANNAD DIST - AURANGABADAT/POST - NAGAD TAL - KANNAD DIST - AURANGABAD,rashtriyacollegenagad@gmail.com,9420382564,-9766650888,9420382564,Dr.D.S NIKUMBH,Non-Aided
3171,Smt. Kusumtai Rajarambapu Patil Kanya Mahavidyalaya (Arts Commerce & Science) Islampur.,Shivaji University Kolhapur,Sangli,Walwa Islampur,Girls,Rural,No,Select,Kolhapur,Near Shirala NakaIslampur.,kmahavidyalaya@yahoo.co.in,02342-224094,02342-224094,8087302096,Dr. Vilas Ganapti Kale,Aided
3172,Mahatma Gandhi Mahavidhyalaya(ArtCommerce&Science),Swami Ramanand Teerth Marathwada University Nanded,Latur,Ahmadpur,Co-Education,Rural,No,Select,Nanded,Latur-Nanded Road Ahmedpur-413515 Dist. At.Post,principal_mgm@rediffmail.com,02381-262060,02381-262060,9423813477,Smt. Capt. Anita. M. Shinde,Aided
3173,Gulamnabi Azhad Arts Commerce College Barshi Takali,Sant Gadge Baba Amravati University Amravati,Akola,Barshitakli,Co-Education,Rural,No,Select,Amravati,G. N. A. College Barshitakli Tq. Barshitakli Dist. Akola.G. N. A. College Barshitakli Tq. Barsh,gaacm215@sgbau.ac.in,,-9823363941,9823364032,Mr Madhukar Rangalal Pawar,Aided
3174,CES' College of Education,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon,Jalgaon,Chopda,Co-Education,Urban,No,Select,Jalgaon,arunodaya colony old shirpur road Chopda,cbed12@rediffmail.com,02586-283315,02586-220232,9860911325,SHRI. M. P. PATIL,Non-Aided
3175,Dr.C.V.Raman Science College Sironcha Dist Gadchiroli,Gondwana University Gadchiroli,Gadchiroli,Sironcha,Co-Education,Rural,No,Linguistic,Nagpur,Nagram Road Sironcha Po. Tq. Sironcha Dist. Gadchiroli Pin code 442504,cvraman.src@gmail.com,7131233203,-9423669153,8668270189,Dr. Shakeel Ahmed Jameel Ahmed Firdousi,Aided
3176,Bharatiya MahavidyalayaAmravati,Sant Gadge Baba Amravati University Amravati,Amravati,Amravati,Co-Education,Urban,No,Select,Amravati,rajapethBadnera road,bmvamt@gmail.com,0721-2673283,0721-2673283,9860866653,Dr A. G.Vaidya,Aided
3177,Rajesh Rathod Mahavidyalay Watur Tal-Patur Dist- Jalna,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Jalna,Partur,Co-Education,Rural,No,Select,Aurangabad,At watur ta partur dist jalna,rajudabhade82@gmail.com,-9158536930,-9158536930,9551352222,RAU DAGDUBA DABHADE,Non-Aided
3178,Janseva Foundation Loni Budrukh's Arts & Commerce College Shendi( Bhandardara ),Savitribai Phule Pune University Pune,Ahmednagar,Akole,Co-Education,Rural,No,Select,Pune,A/P Shendi ( Bhandardara )At- Chichondi Post -Shendi Tal.AkoleDist. Ahmednagar.Janseva Foundation,principal.acshendi@pravara.in,9822599091,-9970264785,9403651565,Dr. Babasaheb Samopatrao Deshmukh,Non-Aided
3179,Takshashila mahavidyalaamravati,Sant Gadge Baba Amravati University Amravati,Amravati,Amravati,Co-Education,Urban,No,Religious,Amravati,Takshashila mahavidyalya amravatiTakshashila mahavidyalya amravati,takshashilamv1984@gmail.com,0721-2568269,0721-2568269,9890239967,Dr. Mallu Padaval,Aided
3180,Chintamani Arts College Pambhurna Dist Chandrapur,Gondwana University Gadchiroli,Chandrapur,Pombhurna,Co-Education,Rural,No,Select,Nagpur,At-Po-Ta-pombhurna Dist-ChandrapurAt-Po-Ta-pombhurna Dist-Chandrapur,chintamaniartcollege@rediffmail.com,07171-203237,07171-203237,9823591058,Dr. N. H. Pathan,Aided
3181,Smt. Indumati Wankhede Shikshan Mahavidyalaya,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Wardha,Wardha,Co-Education,Rural,Yes,Religious,Nagpur,Aadarsha nagar sevagramsnehal nagar wardha,sachinsurkar165@gmail.com,-9373405731,-9373405731,7875051020,PRASHANT SHRIDHAR ADNAK,Non-Aided
3182,Dr. Gyanratna Civil Servises College Chandrapur,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Chandrapur,Bhadrawati,Co-Education,Urban,No,Select,Nagpur,Vijjasan buddha Leni Bhadrawati Dist-ChandrapurVijjasan buddha Leni Bhadrawati Dist-Chandrapur,drgcs.college@gmail.com,8379811272,-9284690779,8379811272,VINAY DONGRE,Non-Aided
3183,Gurukul College of BCAKale,Smt. Nathibai Damodar Thakersey Women's University Mumbai,Kolhapur,Panhala,Girls,Rural,No,Select,Kolhapur,Gurukul College of BCAKale Taluka: Panhala Dist: Kolhapur,gurukulbcakale@gmail.com,9850499904,-9130308703,8888753263,Mrs.Ghatage R.P.,Non-Aided
3184,Mungasaji Maharaj Physical Education College Darwha,Sant Gadge Baba Amravati University Amravati,Yavatmal,Darwha,Co-Education,Rural,No,Select,Amravati,m.m.college of physical education darwha dist- yavatmal (m.s.) pin code - 445202,mungsajimaharajbped@gmail.com,7238254245,-9422873887,9922844564,Dr vishwajit Thakare,Non-Aided
3185,NARAYANRAO NAGRE COLLEGE DUSARBID TQ.SINDKHED RAJA DIST.BULDANA,Sant Gadge Baba Amravati University Amravati,Buldhana,Sindkhed Raja,Co-Education,Rural,No,Select,Amravati,N.N.CollegeDusarbidTq.Sindkhed Raja Dist.Buldana,vhndusarbid@gmail.com,7269263579,91-9823311684,9823311684,Dr.VIJAY H. NAGRE,Aided
3186,Sarvajanik Shikshan Sanstha’s Adv. V. B. Deshpande College of Commerce (Night) Mulund (W) Mumbai,Mumbai University Mumbai,Mumbai Suburban,Kurla,Co-Education,Urban,No,Select,Mumbai,4th floor Smt. N. G. Purandare High School Bldg.V. P. Road Mulund (W) Mumbai-400080,ssscollegeofcomeve@gmail.com,022-25913693,022-25913693,8108214736,Dr. (Mrs.) Kailash R. Anekar,Non-Aided
3187,Venkatesh Mahajan Sr.College Osmanabad,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Osmanabad,Osmanabad,Co-Education,Urban,No,Select,Aurangabad,samarth nagar osmanabadsamarth nagar osmanabad,osdvmcollege@gmail.com,2472227159,91-9975119380,8087779718,Dr.Choudhari Prashant Gunvantrao,Aided
3188,Shri Chatrapati Shikshan Sanstha Shri Chatrapati Arts and Commerce College,Savitribai Phule Pune University Pune,Pune,Indapur,Co-Education,Rural,No,Select,Pune,a/p bhavaninagar tal indapur dist pune,chhatrapati2009@gmail.com,02118-266605,02118-266606,9423187692,princ. Bhapkar Baban Bajirao,Non-Aided
3189,Arts Science and Commerce College Indapur,Savitribai Phule Pune University Pune,Pune,Indapur,Co-Education,Rural,No,Select,Pune,Arts Science & Commerce College Indapur Pune. Near S.T.Stand opp. Nagarparishad Indapur,ascicollege@gmail.com,02111-223102,02111-223102,9423250917,Dr. JIVAN PANDURANG SARAWADE,Aided
3190,CHEFS KITCHEN INSTITUTE OF CULINARY ARTS & HOTEL MANAGEMENT KOLHAPUR,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Kolhapur,Karveer,Co-Education,Rural,No,Select,Kolhapur,Plot No.925/2 NH-48 Sarnobatwadi kolhapur,princi@chefskitchen.co.in,7030702424,-7030702424,7030702424,KASALKAR SANTOSH SHAMRAO,Non-Aided
3191,Willingdon College SANGLI-416 415,Shivaji University Kolhapur,Sangli,Miraj,Co-Education,Urban,No,Select,Kolhapur,P.O.Willingdon College Vishrambag Sangli -416415,wdnsangli@gmail.com,2332601131,0233-6605154,9225340924,Dr.Bhaskar Vinayak Tamhankar,Aided
3192,Marathwada College of Education Aurangabad,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Aurangabad,Aurangabad,Co-Education,Urban,Yes,Religious,Aurangabad,Dr. Rafiq Zakaria CampusMarathwada College of EducationRauza BaghHarsul RoadAurangabad-431001,marathwadacollege@gmail.com,0240-2381096,0240-2381096,9860053123,Dr. Naveed us Sahar,Aided
3193,MURLIDHAR NANAJI MOHITE GURUJI ARTS COMMERCE AND B.M.S. COLLEGE KHODALA-JOGALWADI,Mumbai University Mumbai,Palghar,Mokhada,Co-Education,Tribal,Yes,Religious,Panvel,AT POST KHODALA TAL MOKHADA DIST PALGHAR. 401604KHODALA - KASARA ROAD.,mnmgcollege@gmail.com,2512200744,-919765948997,9765215969,Dr. ANIL NARAYAN PATIL,Non-Aided
3194,KLE Societys Science & Commerce College Kalamboli Navi Mumbai,Mumbai University Mumbai,Raigad,Panvel,Co-Education,Urban,Yes,Linguistic,Panvel,Plot No.29 Sec.- 1 Kalamboli Navi Mumbai 410218.,klekalamboli@gmail.com,022-27423300,022-60022240,9820267367,Dr. Ghansham D. Giri,Non-Aided
3195,Kai Rasika Mahavidyalaya Deoni,Swami Ramanand Teerth Marathwada University Nanded,Latur,Deoni,Co-Education,Rural,No,Select,Nanded,Kai Rasika Mahavidyalaya Deoni. Borol Road Deoni,rasikadeoni399@gmail.com,02385-269555,02385-0269555,8007800999,Principal Dr.C.A.Jawale,Aided
3196,SARVAJANIK ARTS & COM COLLEGE VISARWADI,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon,Nandurbar,NAVAPUR,Co-Education,Tribal,No,Select,Jalgaon,Visarwadi Education Society's Sarvajanik Arts & Commerce College Visarwadi Tal.Navapur Dist.Nandurb,vescollege270083@gmail.com,2569240646,-7350020036,9405200851,Dr. Jaishri Manikrao Gavit,Aided
3197,Gurukul College of Computer Science & Information Technology Chiplun.,Mumbai University Mumbai,Ratnagiri,Chiplun,Co-Education,Urban,No,Select,Panvel,Prathamik Shikshak Bhavan Bahadur Shekh Naka,gurukulcollegecpn@gmail.com,02355-252001,02355-252001,9822321906,Mrs. Shityalkar Poonam Rajaram,Non-Aided
3198,Govt. of Maharashtra's Govt. College of Education Akola,Sant Gadge Baba Amravati University Amravati,Akola,Akola,Co-Education,Urban,No,Select,Amravati,Govt.College of Education near netra hospital Ramdaspeth Akola. Pin-444005,principalakola80@gmail.com,0724-437389,0724-2433765,8788292860,Dr.V.V.Deo,Govt.
3199,Dr. Ulhas Patil College of Science  Jalgaon,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon,Jalgaon,Jalgaon,Co-Education,Urban,No,Select,Jalgaon,Plot No.-61 M-Sector MIDCJalgaon.,dupsc2001@gmail.com,2572211712,-9326512749,9326512749,Dr. Nilima Prashant Warke,Non-Aided
3200,Chatrapati Shivaji Mahavidyalaya Arts Commerce and Science Chincholi(Khurd) Chandrapur,Gondwana University Gadchiroli,Chandrapur,Rajura,Co-Education,Rural,No,Select,Nagpur,At-Chincholi (Khurd) Po-Govari Ta-Rajura Dist-Chandrapur,csmchincholi@gmail.com,71733222075,-8975386212,8975386212,Dr. Santosh Sitaram Padolkar,Non-Aided
3201,Shri Shrikrushndas Jaju Gramin Seva College Pipri Wardha,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Wardha,Wardha,Co-Education,Rural,Yes,Linguistic,Nagpur,Arvi Road Wardha,sjgs_pw@rediffmail.com,07152-230518,07152-230518,9860218281,Dr. Rajesh R. Deshpande,Aided
